code,glottolog,ru,en,comment,lat,long
no,norw1258,норв.,Norwegian,,59.92,10.71
no-x-dial,norw1258,норв. (диал.),Norwegian (dialectal),,59.92,10.71
nog,noga1249,ног.,Nogai,,44.89776,43.1656
non,oldn1244,др.сев.,Old Norse,,63.42,10.38
non-x-is,oldw1240,др.исл.,Old Icelandic,indicate the coordinates of Icelandic specifically,63.48,-19.02
ntz,nata1252,натанзи,Natanzi,,33.4593,51.9538
nub,oldn1245,нубийское,Nubian,I assume Abaev cites Old Nubian,18.760713,31.748657
oc,occi1239,прованс.,Occitan,probably Occitan; Abaev seems to call Franco-Provençal «фр. (прованс.)»,44.1415,6.82979
ofs,oldf1241,др.фриз.,Old Frisian,,53.35,6.8
oge,oldg1234,др.груз.,Old Georgian,,41.604313,43.06151
ohu,hung1274,ст.венг.,Old Hungarian,,46.9068585714,19.6555271429
oos,oldo1234,ст.ос.,Old Ossetic,,48.48,39.46
oru,ormu1247,орм.,Ormuri,,32.6819,69.3444
orv,oldr1238,др.русск.,Old Russian,,54.813,31.827
os,osse1243,ос.,Ossetic,"I assume that when Abaev cites Ossetic, he cites modern Ossetic",42.98,44.61
os-x-digor,digo1242,д.,Digor,,43.158056,44.156944
os-x-iron,iron1242,и.,Iron,,42.98,44.61
os-x-ksan,iron1242,ксан.,Ksan Ossetic,add coordinates,42.98,44.61
os-x-south,iron1242,ю.,South Ossetic,add coordinates,42.98,44.61
osx,olds1250,др.сакс.,Old Saxon,,52.37,9.72
pa,panj1256,пенджаби,Punjabi,arbitrarily chose Eastern Panjabi for Glottolog,30.0368,75.6702
pal,pahl1241,пехл.,Middle Persian,,30.06,52.7
pal-x-pazend,pahl1241,паз.,Pazend,,30.06,52.7
pal-x-turfan,pahl1241,пехл. турф.,Turfan Pahlavi,add coordinates,30.06,52.7
peo,oldp1254,др.перс.,Old Persian,,32.0,54.0
pgd,gand1259,кхарошти,Gandhari,,34.15,71.73
pi,pali1273,пали,Pali,,24.5271,82.251
pl,poli1260,пол.,Polish,,51.8439,18.6255
pra,midd1350,пракрит.,Prakrit,Glottolog arbitrary,26.61,78.97
prc,para1299,пар.,Parachi,,36.0432,70.8805
prg,prus1238,др.прусс.,Old Prussian,,52.394,14.757
prs,dari1249,тадж. (кабули),Dari (Kabul),,31.0405,67.3593
ps,nucl1276,афг.,Pashto,I assign this to Nuclear Pashto in Glottolog because Wanetsi is separate,31.92,69.45
psh,sout2671,пашан,Pashai (?),Glottolog arbitrary,34.8478,69.8734
pt,port1283,порт.,Portuguese,,39.91,-8.10
qwm,cuma1241,куман.,Cuman,,45.00,34.08
ro,roma1327,рум.,Romanian,,46.3913,24.2256
rom,roma1329,цыг.,Romani,arbitrarily chose Central Romani,48.20,20.31
ru,russ1263,русск.,Russian,,59.0,50.0
ru-x-argot,russ1263,русск. (арго),Russian (argot),,59.0,50.0
ru-x-arkh,pomo1275,русск. (арх.),Russian (Arkhangelsk),,63.5,43.0
ru-x-dial,russ1263,русск. (диал.),Russian (dialectal),,59.0,50.0
ru-x-novg,novg1241,русск. (новг.),Russian (Novgorod),,58.433333,32.383333 
ru-x-smlnsk,russ1263,русск. (смол.),Russian (Smolensk),add coordinates,59.0,50.0
ru-x-south,sout2602,русск. (южн. диал.),Russian (southern dialects),,45.05,41.983333 
ru-x-vldmr,vlad1234,русск. (влад.),Russian (Vladimir),,56.083333,40.616667
rut,rutu1240,рутул.,Rutul,,41.6187,47.3244
sa,clas1258,скр.,Sanskrit,,20.0,77.0
sa-vaidika,vedi1234,вед.,Vedic,,20.0,77.0
sah,yaku1245,якут.,Yakut,,61.69744,133.98031
sbv,sabi1245,саб.,Sabine,,43.54,13.46
sem,semi1276,семит.,Semitic,coordinates of Imperial Aramaic,33.91,42.19
sga,oldi1246,др.ирл.,Old Irish,,53.22,-7.62
sgh,shug1248,пам. ш.,Shughni,,37.5018,71.7925
